,var1(t-6),var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),var1(t)
486,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_080000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_080500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_081000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_081500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083000_03.jpg
487,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_080500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_081000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_081500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083500_03.jpg
488,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_081000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_081500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084000_03.jpg
489,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_081500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084500_03.jpg
490,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085000_03.jpg
491,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_082500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085500_03.jpg
492,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090000_03.jpg
493,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_083500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090500_03.jpg
494,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091000_03.jpg
495,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_084500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_085500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_090500_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091000_03.jpg,E:\deepL\Federal Learning\vertical\img_text_for_predition\img_data\rgb202U_CAM1_20210905_091500_03.jpg
