date,Temp,Hum,Height,csi,Theory,ghi
2021/9/5 8:00,19.0,90.0,14.77,0.142509079,217.43,31
2021/9/5 8:05,19.1,89.3,15.9,0.12184362,237.91,29
2021/9/5 8:10,19.1,88.5,17.04,0.058038305,258.35,15
2021/9/5 8:15,19.2,88.6,18.17,0.032277732,278.73,9
2021/9/5 8:20,19.3,89.5,19.31,0.043462271,299.01,13
2021/9/5 8:25,19.2,90.5,20.44,0.059507031,319.19,19
2021/9/5 8:30,19.1,92.1,21.58,0.050095771,339.25,17
2021/9/5 8:35,19.0,91.3,22.71,0.10576709,359.18,38
2021/9/5 8:40,18.5,91.3,23.85,0.158286287,378.96,60
2021/9/5 8:45,18.2,92.9,24.98,0.125413866,398.58,50
2021/9/5 8:50,18.1,92.5,26.11,0.114796834,418.03,48
2021/9/5 8:55,18.1,93.4,27.24,0.112028167,437.29,49
2021/9/5 9:00,18.0,93.5,28.36,0.129258407,456.35,59
2021/9/5 9:05,18.0,95.0,29.49,0.143064526,475.21,68
2021/9/5 9:10,18.0,95.1,30.61,0.153861727,493.85,76
2021/9/5 9:15,18.0,96.3,31.73,0.154188461,512.26,79
2021/9/5 9:20,18.0,97.1,32.85,0.190372074,530.44,101
2021/9/5 9:25,18.0,97.1,33.97,0.277134574,548.37,152
2021/9/5 9:30,18.2,97.8,35.1,0.349736814,566.04,198
2021/9/5 9:35,18.5,98.1,36.22,0.476394482,583.45,278
2021/9/5 9:40,18.9,98.3,37.33,0.564360392,600.58,339
2021/9/5 9:45,19.0,96.1,38.44,0.592683756,617.43,366
2021/9/5 9:50,19.3,95.1,39.55,0.604024729,633.98,383
2021/9/5 9:55,19.6,94.3,40.65,0.555094258,650.24,361
2021/9/5 10:00,19.9,90.0,41.76,0.511789161,666.19,341
2021/9/5 10:05,20.0,90.0,42.86,0.482461286,681.82,329
2021/9/5 10:10,20.3,88.4,43.95,0.523500136,697.13,365
2021/9/5 10:15,20.5,88.8,45.05,0.446503791,712.1,318
2021/9/5 10:20,20.6,86.5,46.13,0.251774806,726.74,183
2021/9/5 10:25,20.4,86.3,47.21,0.215886552,741.03,160
2021/9/5 10:30,20.3,86.9,48.29,0.316531137,754.96,239
2021/9/5 10:35,20.5,87.6,49.36,0.411115737,768.54,316
2021/9/5 10:40,20.7,81.5,50.41,0.493700838,781.75,386
2021/9/5 10:45,21.1,84.3,51.47,0.494538682,794.58,393
2021/9/5 10:50,21.3,78.5,52.52,0.495576975,807.04,400
2021/9/5 10:55,21.6,78.0,53.56,0.415033996,819.11,340
2021/9/5 11:00,21.7,76.3,54.59,0.355045253,830.78,295
2021/9/5 11:05,21.6,74.5,55.61,0.265982711,842.06,224
2021/9/5 11:10,21.6,76.6,56.61,0.298930882,852.94,255
2021/9/5 11:15,21.8,77.4,57.61,0.413428912,863.41,357
2021/9/5 11:20,21.5,76.5,58.59,0.372040844,873.46,325
