RMSE,nRMSE,MAPE,sMAPE,R2
135.81242,0.4339887,0.29826316,0.34365203976631165,0.7547691999267745
151.7875,0.48480278,0.40042418,0.4143233001232147,0.6936549798901896
170.45226,0.54419774,0.49689364,0.49933966994285583,0.6136803857236239
181.46184,0.5791628,0.5501013,0.5395712852478027,0.5621749005181456
190.15526,0.6067228,0.5679518,0.5766949653625488,0.5192407961281227
197.1756,0.628338,0.5757034,0.6043267846107483,0.4842670022643868
,,,,,Multi-step prediction of the mean value of each indicator
,,,,,
,,,,,
all_samples_rmse,nrmse_mean,mape_mean,sampe_mean,R2_mean
172.48386,0.5462021,0.4815562,0.4963180075089137,0.604631210741874
