,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10
0,79.03467,258.20834,448.07,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,96.64995,259.3645,446.93552,639.11884,811.1242,918.6359,963.18823,947.6195,892.9607,781.66974
1,258.20834,448.07,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,259.77643,444.97354,632.89557,797.6116,923.5832,979.9518,956.08093,894.796,785.4332,624.397
2,448.07,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,462.21942,641.96423,805.2011,914.4027,984.5973,974.522,904.96185,780.3466,624.6431,456.21832
3,624.92834,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,622.9489,775.1593,891.45013,936.6643,945.4229,902.8125,784.265,610.00464,451.68076,270.9437
4,776.09,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,773.61224,885.0184,942.4644,917.4583,886.616,786.51794,630.5272,451.25244,282.07568,113.2426
5,883.3333,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,877.87964,938.7817,934.4498,873.0685,776.8889,629.3901,467.70267,274.89413,119.81384,0.0
6,938.76666,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,936.6977,931.83594,898.4772,779.5178,623.3753,459.3981,280.4598,106.22894,0.0,0.0
7,939.93335,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,938.3753,895.6522,805.24927,639.0602,463.567,269.07706,102.71143,0.0,0.0,0.0
8,884.13336,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,906.8246,800.0161,657.3821,483.95203,280.56702,94.84639,0.0,0.0,0.0,0.0
9,776.88666,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,0.0,798.5575,632.36414,474.93762,294.39682,96.60356,0.0,0.0,0.0,0.0,0.0
10,622.2,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,0.0,0.0,632.3063,448.67743,267.59253,109.82701,0.0,0.0,0.0,0.0,0.0,0.0
11,388.03168,262.24167,90.4805,2.7503333,0.0,0.0,0.0,0.0,0.0,0.0,456.4299,251.06999,79.607056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,262.24167,90.4805,2.7503333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.03651,46.951916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,90.4805,2.7503333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.428345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.7503333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229,78.69683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26372
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229,78.69683,257.55667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.66547,172.38937
17,0.0,0.0,0.0,0.0,0.0,0.0,1.229,78.69683,257.55667,448.99335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.683327,198.8586,368.7433
18,0.0,0.0,0.0,0.0,0.0,1.229,78.69683,257.55667,448.99335,626.04333,0.0,0.0,0.0,0.0,0.0,0.0,72.5921,225.2567,391.2397,565.11053
19,0.0,0.0,0.0,0.0,1.229,78.69683,257.55667,448.99335,626.04333,776.07166,0.0,0.0,0.0,0.0,0.0,84.27053,249.39659,418.40756,586.6102,730.9158
20,0.0,0.0,0.0,1.229,78.69683,257.55667,448.99335,626.04333,776.07166,885.5,0.0,0.0,0.0,0.0,90.05626,269.51614,447.59003,616.51556,753.1851,866.71246
21,0.0,0.0,1.229,78.69683,257.55667,448.99335,626.04333,776.07166,885.5,944.36664,0.0,0.0,0.0,93.74292,273.5951,466.80008,640.65704,777.422,881.6561,936.7187
22,0.0,1.229,78.69683,257.55667,448.99335,626.04333,776.07166,885.5,944.36664,944.25,0.0,0.0,106.7422,274.27103,464.75308,658.7861,795.49084,908.10315,951.94525,941.8092
23,1.229,78.69683,257.55667,448.99335,626.04333,776.07166,885.5,944.36664,944.25,885.88336,0.0,108.114815,278.61377,467.71494,661.11346,812.93256,918.81726,973.00244,955.52094,896.69604
24,78.69683,257.55667,448.99335,626.04333,776.07166,885.5,944.36664,944.25,885.88336,772.765,93.17377,259.9158,448.85495,647.8322,811.92413,931.45197,976.9852,963.75287,902.8583,785.58966
25,257.55667,448.99335,626.04333,776.07166,885.5,944.36664,944.25,885.88336,772.765,626.76166,262.24323,452.08234,645.5237,811.0124,945.37054,1004.3702,982.8038,914.4964,798.53015,635.69635
26,448.99335,626.04333,776.07166,885.5,944.36664,944.25,885.88336,772.765,626.76166,460.165,459.3768,649.3986,811.18463,936.4194,1006.92255,997.15204,924.91144,789.57947,635.46594,455.25125
27,626.04333,776.07166,885.5,944.36664,944.25,885.88336,772.765,626.76166,460.165,272.47,623.3251,773.67706,898.77167,951.4147,963.49115,915.06055,792.4253,615.0893,449.09985,267.7235
28,776.07166,885.5,944.36664,944.25,885.88336,772.765,626.76166,460.165,272.47,85.0335,769.9172,888.79144,946.9838,930.3234,896.0246,792.48,635.05084,445.04977,279.52066,108.06312
29,885.5,944.36664,944.25,885.88336,772.765,626.76166,460.165,272.47,85.0335,1.3483334,884.13574,945.3549,945.00256,884.9719,781.6067,633.77014,462.06104,269.5479,111.98503,0.0
30,944.36664,944.25,885.88336,772.765,626.76166,460.165,272.47,85.0335,1.3483334,0.0,936.4021,936.7514,901.1044,779.4319,621.1388,449.54837,272.6342,95.1621,0.0,0.0
31,944.25,885.88336,772.765,626.76166,460.165,272.47,85.0335,1.3483334,0.0,0.0,943.1542,898.96387,804.23096,637.6892,451.8431,261.79407,96.25211,0.0,0.0,0.0
