RMSE,nRMSE,MAPE,sMAPE,R2,
148.9127,0.47585064,0.4147461,0.423024207,0.705178281,
167.60341,0.5353181,0.48751426,0.497782558,0.626487999,
194.58086,0.6212324,0.63447237,0.567156971,0.496567216,
210.29362,0.67118376,0.6729347,0.59646678,0.411993349,
226.07306,0.7213246,0.7927948,0.639472127,0.320470047,
236.0444,0.7522009,0.76923984,0.653788328,0.260895306,
,,,,,Multi-step prediction of the mean value of each indicator
,,,,,
,,,,,
all_samples_rmse,nrmse_mean,mape_mean,sampe_mean,R2_mean,
199.65678,0.6295184,0.62861705,0.562948495,0.470265366,
