,true_step1,pred_step1
0,228.0,387.60733
1,261.0,358.27658
2,283.0,338.1055
3,292.0,350.85233
4,377.0,402.33585
5,379.0,367.0755
6,315.0,362.43863
7,233.0,358.17886
8,198.0,264.0411
9,197.0,232.55275
10,226.0,235.60596
11,237.0,222.28493
12,200.0,238.41623
13,201.0,201.12468
14,193.0,202.9881
15,217.0,179.08951
16,203.0,182.45
17,287.0,177.13515
18,155.0,238.00732
19,164.0,122.51846
20,149.0,121.46729
21,136.0,133.1907
22,138.0,112.42343
23,123.0,120.37683
24,103.0,75.041725
25,80.0,59.19764
26,72.0,53.9061
27,65.0,25.074839
28,71.0,12.9959135
29,137.0,42.117058
30,154.0,91.049805
31,168.0,130.73125
32,187.0,146.7174
33,206.0,184.97862
34,231.0,218.46979
35,255.0,257.45718
36,275.0,281.91266
37,300.0,290.0849
38,332.0,313.24847
39,353.0,328.83997
40,379.0,327.28607
41,394.0,347.98514
42,428.0,347.03574
43,443.0,375.34866
44,469.0,395.38614
45,493.0,422.69458
46,502.0,454.35693
47,522.0,458.38354
48,541.0,458.6247
49,555.0,495.09045
50,580.0,514.5761
51,625.0,535.13824
52,614.0,568.6603
53,600.0,573.9759
54,636.0,588.8078
55,614.0,613.04236
56,629.0,615.5117
57,647.0,638.48267
58,664.0,648.2702
59,674.0,664.0912
60,677.0,689.90106
61,705.0,694.11957
62,723.0,710.9674
63,736.0,735.94415
64,758.0,747.43884
65,761.0,759.35895
66,784.0,769.4165
67,789.0,786.73663
68,199.0,800.65063
69,864.0,553.3171
70,788.0,663.85864
71,877.0,822.41345
72,877.0,857.66034
73,886.0,866.51434
74,884.0,857.5252
75,909.0,837.12036
76,920.0,933.7772
77,913.0,921.2636
78,936.0,840.1172
79,987.0,901.1791
80,980.0,947.4272
81,426.0,921.74615
82,1018.0,801.1948
83,954.0,851.96875
84,619.0,992.9762
85,943.0,909.9159
86,958.0,869.78735
87,381.0,965.8115
88,1053.0,739.8382
89,356.0,816.71234
90,239.0,833.0419
91,295.0,541.2647
92,309.0,517.40436
93,820.0,633.11206
94,969.0,688.3663
95,816.0,1021.6215
96,945.0,914.43243
97,927.0,745.87646
98,938.0,880.9287
99,883.0,855.01227
100,962.0,848.7776
101,925.0,904.2335
102,905.0,788.42163
103,893.0,885.643
104,868.0,911.46967
105,865.0,787.8568
106,887.0,936.5625
107,268.0,931.0499
108,866.0,647.66833
109,592.0,752.81305
110,850.0,775.4395
111,869.0,826.05005
112,472.0,891.34247
113,869.0,754.9019
114,363.0,749.4313
115,214.0,719.00195
116,356.0,535.2799
117,275.0,457.9779
118,713.0,513.05133
119,211.0,648.0857
120,166.0,483.8319
121,150.0,410.6833
122,162.0,254.7925
123,163.0,302.87112
124,195.0,306.24005
125,164.0,195.82642
126,220.0,209.72076
127,266.0,215.01968
128,330.0,210.9951
129,333.0,342.27448
130,276.0,291.9263
131,556.0,259.52136
132,300.0,398.36014
133,391.0,244.37502
134,543.0,340.04944
135,325.0,368.9489
136,257.0,234.98509
137,217.0,258.31628
