,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6
0,228.0,261.0,283.0,292.0,377.0,379.0,400.9185,388.06583,364.63574,366.83734,359.40076,328.30267
1,261.0,283.0,292.0,377.0,379.0,315.0,318.5779,306.2724,322.54306,350.8148,315.56778,283.88495
2,283.0,292.0,377.0,379.0,315.0,233.0,279.22775,304.86646,326.25568,321.488,283.78683,262.69824
3,292.0,377.0,379.0,315.0,233.0,198.0,293.87286,325.08313,306.76303,290.56537,263.61438,235.50098
4,377.0,379.0,315.0,233.0,198.0,197.0,318.91367,297.5465,274.5978,268.7018,231.8221,223.08339
5,379.0,315.0,233.0,198.0,197.0,226.0,331.66837,298.3527,278.58606,258.93228,236.73836,227.98915
6,315.0,233.0,198.0,197.0,226.0,237.0,324.88675,294.3091,262.457,263.1496,236.05928,218.22768
7,233.0,198.0,197.0,226.0,237.0,200.0,299.88855,264.94058,252.05756,265.39133,236.08835,212.16695
8,198.0,197.0,226.0,237.0,200.0,201.0,241.73784,234.66556,235.4436,252.01222,227.37512,201.18721
9,197.0,226.0,237.0,200.0,201.0,193.0,214.96973,225.22678,226.69568,242.9026,214.80104,190.73268
10,226.0,237.0,200.0,201.0,193.0,217.0,206.84074,219.73648,214.65634,230.56595,200.20532,151.41896
11,237.0,200.0,201.0,193.0,217.0,203.0,221.1711,220.98207,209.17789,224.53119,167.85393,142.1497
12,200.0,201.0,193.0,217.0,203.0,287.0,230.68263,218.52066,209.81117,195.97266,160.51338,141.83705
13,201.0,193.0,217.0,203.0,287.0,155.0,206.73824,196.81738,170.88728,180.72021,147.6318,133.09332
14,193.0,217.0,203.0,287.0,155.0,164.0,192.83162,164.75587,159.85597,168.49724,147.76212,118.62263
15,217.0,203.0,287.0,155.0,164.0,149.0,161.46498,152.26834,148.58067,168.23206,129.05653,81.8255
16,203.0,287.0,155.0,164.0,149.0,136.0,174.56337,165.45638,165.32573,164.99136,101.02779,103.07756
17,287.0,155.0,164.0,149.0,136.0,138.0,177.02852,172.59743,157.18054,138.7043,116.6758,114.66317
18,155.0,164.0,149.0,136.0,138.0,123.0,224.46602,196.67876,156.12968,171.34492,143.18112,121.218506
19,164.0,149.0,136.0,138.0,123.0,103.0,168.11003,127.71614,143.73035,166.63557,130.03275,108.35178
20,149.0,136.0,138.0,123.0,103.0,80.0,127.12381,130.24109,154.15982,164.31866,125.45736,115.2605
21,136.0,138.0,123.0,103.0,80.0,72.0,139.8462,150.01859,158.27509,160.07857,131.27773,117.75057
22,138.0,123.0,103.0,80.0,72.0,65.0,144.76314,146.52754,153.362,169.22604,127.171486,110.00339
23,123.0,103.0,80.0,72.0,65.0,71.0,138.26219,144.50757,154.7787,163.47337,120.2912,118.00671
24,103.0,80.0,72.0,65.0,71.0,137.0,123.7121,132.58414,143.76889,153.20065,112.67603,118.375984
25,80.0,72.0,65.0,71.0,137.0,154.0,110.58231,120.62615,134.70395,147.87636,115.50071,115.51942
26,72.0,65.0,71.0,137.0,154.0,168.0,94.16755,108.733665,129.42897,151.23212,116.93292,115.44804
27,65.0,71.0,137.0,154.0,168.0,187.0,85.61569,101.63828,132.88472,151.75061,116.72989,114.466034
28,71.0,137.0,154.0,168.0,187.0,206.0,81.56621,107.69444,136.32744,155.61954,118.068535,119.121056
29,137.0,154.0,168.0,187.0,206.0,231.0,97.59517,119.629684,145.61977,163.32234,123.311356,121.78431
30,154.0,168.0,187.0,206.0,231.0,255.0,158.09045,164.54384,176.48784,195.9373,151.18695,176.79568
31,168.0,187.0,206.0,231.0,255.0,275.0,197.9419,199.34018,206.20735,230.5469,205.04596,227.95415
32,187.0,206.0,231.0,255.0,275.0,300.0,221.68196,221.31665,230.24991,273.58813,251.47437,260.61923
33,206.0,231.0,255.0,275.0,300.0,332.0,234.66626,246.59976,276.2845,306.85934,280.68094,285.51395
34,231.0,255.0,275.0,300.0,332.0,353.0,257.5609,295.1626,321.71548,334.54346,301.86542,289.9689
35,255.0,275.0,300.0,332.0,353.0,379.0,300.62332,334.3807,351.01263,359.33066,308.09842,292.41385
36,275.0,300.0,332.0,353.0,379.0,394.0,331.98007,357.2005,367.02655,368.95096,319.26935,301.5341
37,300.0,332.0,353.0,379.0,394.0,428.0,348.71054,372.73206,366.53363,367.6115,331.9674,303.7198
38,332.0,353.0,379.0,394.0,428.0,443.0,358.2987,374.58643,374.27667,376.51483,342.06226,316.9311
39,353.0,379.0,394.0,428.0,443.0,469.0,369.25378,384.68723,390.29758,386.30582,362.2771,334.77527
40,379.0,394.0,428.0,443.0,469.0,493.0,383.2795,412.6523,409.9111,411.21484,381.61417,361.50803
41,394.0,428.0,443.0,469.0,493.0,502.0,414.60968,437.5661,439.08636,437.26492,405.4226,388.6057
42,428.0,443.0,469.0,493.0,502.0,522.0,428.08862,457.70624,452.47208,456.291,423.4431,399.73242
43,443.0,469.0,493.0,502.0,522.0,541.0,452.56805,485.59158,480.8885,475.8187,440.89917,405.35062
44,469.0,493.0,502.0,522.0,541.0,555.0,470.13226,502.78192,500.28674,481.09354,444.58902,417.44534
45,493.0,502.0,522.0,541.0,555.0,580.0,487.8791,524.3049,516.8672,484.5519,461.5934,435.78647
46,502.0,522.0,541.0,555.0,580.0,625.0,497.69266,539.9506,521.52,495.0917,480.17035,447.21884
47,522.0,541.0,555.0,580.0,625.0,614.0,507.1207,540.081,526.2477,510.8002,488.0928,468.63275
48,541.0,555.0,580.0,625.0,614.0,600.0,503.27838,549.066,534.624,519.08527,506.66895,502.30487
49,555.0,580.0,625.0,614.0,600.0,636.0,516.6356,575.1192,545.03595,535.5681,540.347,527.9398
50,580.0,625.0,614.0,600.0,636.0,614.0,542.2083,580.45526,556.72235,562.99634,567.6105,535.55005
51,625.0,614.0,600.0,636.0,614.0,629.0,544.61163,585.21136,575.1824,579.5614,568.55084,526.2185
52,614.0,600.0,636.0,614.0,629.0,647.0,566.5751,604.6521,590.58954,568.1007,554.5334,518.4064
53,600.0,636.0,614.0,629.0,647.0,664.0,578.9547,595.67944,564.0788,539.55054,530.3711,518.1194
54,636.0,614.0,629.0,647.0,664.0,674.0,583.6253,604.59216,575.0924,558.39996,551.16315,540.6173
55,614.0,629.0,647.0,664.0,674.0,677.0,604.4988,626.83264,596.647,582.59357,577.2345,568.25903
56,629.0,647.0,664.0,674.0,677.0,705.0,609.91296,637.82135,608.2478,599.79816,599.8181,588.32294
57,647.0,664.0,674.0,677.0,705.0,723.0,625.6088,654.92126,627.6222,623.53723,621.9542,609.1743
58,664.0,674.0,677.0,705.0,723.0,736.0,639.92926,672.8255,648.05707,642.8171,641.6654,632.78253
59,674.0,677.0,705.0,723.0,736.0,758.0,659.4171,692.8206,666.1974,663.4152,664.3904,654.6834
60,677.0,705.0,723.0,736.0,758.0,761.0,677.36865,709.55396,683.0847,685.19965,684.8683,672.93756
61,705.0,723.0,736.0,758.0,761.0,784.0,689.1622,722.0576,699.5471,702.7327,700.39435,690.4326
62,723.0,736.0,758.0,761.0,784.0,789.0,705.70056,740.153,717.49176,718.77563,717.7,706.53723
63,736.0,758.0,761.0,784.0,789.0,199.0,722.5942,756.0746,730.0772,733.00854,731.54663,714.0278
64,758.0,761.0,784.0,789.0,199.0,864.0,737.5123,765.19543,741.16223,742.33777,736.92523,715.77
65,761.0,784.0,789.0,199.0,864.0,788.0,746.93555,772.0306,746.3007,743.6295,735.37024,717.2214
66,784.0,789.0,199.0,864.0,788.0,877.0,754.38666,777.40814,748.4275,745.5283,738.9257,724.19995
67,789.0,199.0,864.0,788.0,877.0,877.0,765.7514,784.6462,753.48804,752.1352,746.03125,733.81824
68,199.0,864.0,788.0,877.0,877.0,886.0,772.2715,789.9757,759.1698,760.03613,755.00037,741.58813
69,864.0,788.0,877.0,877.0,886.0,884.0,576.74316,632.7188,655.8625,702.68585,717.3441,696.6851
70,788.0,877.0,877.0,886.0,884.0,909.0,717.33057,761.3903,768.2063,763.1416,738.17224,730.8538
71,877.0,877.0,886.0,884.0,909.0,920.0,763.2787,810.4621,772.9329,750.45776,749.446,738.98
72,877.0,886.0,884.0,909.0,920.0,913.0,821.0863,817.1172,765.8999,760.765,760.25415,739.55194
73,886.0,884.0,909.0,920.0,913.0,936.0,816.41425,795.99524,768.3046,769.9422,757.3027,733.62964
74,884.0,909.0,920.0,913.0,936.0,987.0,802.5679,812.90045,784.50824,780.28906,759.9311,756.0785
75,909.0,920.0,913.0,936.0,987.0,980.0,813.1622,826.1154,791.39215,779.9413,779.2094,766.36334
