,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,true_step11,true_step12,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10,pred_step11,pred_step12
0,228.0,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,452.6131,450.75583,408.63782,431.12003,382.45798,381.62558,368.6057,315.74493,305.70078,321.47296,298.237,271.32117
1,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,380.66727,387.33157,376.2625,412.51566,343.2464,329.969,327.78845,272.12225,286.0923,306.31076,282.2986,267.54028
2,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,352.11597,388.33057,388.01614,386.74777,313.62222,305.40707,301.48468,264.66205,285.3948,300.2179,284.4211,275.16693
3,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,368.72348,404.4968,375.21024,353.6604,294.5553,277.39603,296.62512,266.15167,279.22287,292.62823,276.73627,267.44476
4,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,381.2396,375.3174,332.90787,324.86905,254.11673,261.93564,288.09592,244.6792,265.3476,276.66647,260.29605,231.06786
5,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,382.42645,366.80484,324.07874,308.89096,257.77542,265.87344,286.7876,243.4034,259.52762,271.50165,225.29587,222.88092
6,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,364.71228,354.09467,295.78946,304.23074,256.11746,257.6794,279.95837,235.55516,246.80719,236.38448,211.81158,195.27301
7,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,334.07523,311.73047,276.72964,293.29694,241.57191,237.71571,264.02487,211.80276,206.2024,214.60657,186.41605,181.43777
8,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,276.3309,282.095,257.66193,267.01816,226.88367,217.32764,238.77942,170.83028,194.25458,184.2786,170.6104,177.93417
9,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,257.41345,279.88208,246.5431,253.35448,211.40343,205.89737,203.21039,153.88907,176.08981,177.85355,170.53082,154.43019
10,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,259.45743,272.63147,239.97205,238.83713,206.04956,170.31783,192.41667,134.58293,176.85684,173.76389,144.63196,166.79745
11,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,266.69476,272.00262,231.45003,231.65279,181.46939,165.28743,178.0048,136.78197,177.18794,147.18642,156.86562,170.4458
