,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,true_step11,true_step12,true_step13,true_step14,true_step15,true_step16,true_step17,true_step18,true_step19,true_step20,true_step21,true_step22,true_step23,true_step24,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10,pred_step11,pred_step12,pred_step13,pred_step14,pred_step15,pred_step16,pred_step17,pred_step18,pred_step19,pred_step20,pred_step21,pred_step22,pred_step23,pred_step24
0,228.0,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,400.24667,368.42145,380.58463,355.26065,384.96878,345.24112,347.52243,369.63788,339.97595,329.43408,323.30676,296.2748,296.7419,275.9875,264.8415,252.71109,254.11812,242.26749,230.54025,191.52144,152.4148,175.27405,177.83832,177.96942
1,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,318.15918,308.21307,339.3889,341.68756,351.8758,308.12646,327.7005,338.40292,321.7022,314.93332,297.48102,290.40668,295.83038,270.35693,240.36734,245.0469,222.97612,217.39261,207.865,150.3729,153.86739,168.13367,176.47849,200.31335
2,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,286.54025,301.71225,351.06015,316.61588,328.2951,296.5474,312.37183,330.62344,316.93228,305.09583,294.3654,296.12927,292.13547,249.74149,236.93945,224.60498,198.91415,197.85323,177.77997,160.94969,157.35527,175.82774,204.58524,231.99928
3,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,293.93634,325.23944,334.61777,290.30444,317.34445,271.8158,306.95374,325.88583,298.5228,297.5007,289.2064,282.52997,267.43124,246.91467,214.53477,208.49841,179.47632,162.16762,191.49153,168.01149,167.40892,201.84315,242.18121,232.84695
4,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,310.29767,303.6839,300.44162,269.02698,284.31732,253.00998,292.62622,294.51385,280.02118,280.85892,267.86908,248.7569,261.17184,224.20102,192.46738,183.42032,136.22766,172.401,197.83601,166.00536,188.00014,230.22604,232.71971,225.94275
5,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,320.0068,301.91852,308.40677,258.43744,289.40765,247.61263,279.83707,293.02414,274.96655,270.59805,232.05704,246.36014,234.41199,210.73093,179.88792,156.95535,153.0319,187.14886,208.63826,196.93576,225.05653,236.4189,230.7277,249.12299
6,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,302.99857,302.27686,290.80197,255.27118,279.3247,228.52654,267.36346,285.9225,255.00339,235.43207,222.84239,220.04924,216.4157,190.58963,155.37448,177.23544,168.23192,197.48715,237.27957,228.95593,223.57652,230.47925,251.11395,226.54796
7,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,281.58395,269.2527,269.6283,242.14862,257.36685,209.8026,247.64792,255.588,216.45546,215.45596,190.32344,203.57828,199.42963,159.697,171.42693,177.62617,167.64189,220.04044,256.3487,214.0982,208.00685,236.55046,217.94807,205.16461
8,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,210.91008,228.52449,233.25705,207.59296,233.33034,181.45992,216.76675,214.24565,201.39359,181.22188,171.96155,184.58948,164.35287,170.887,167.42923,169.71422,185.216,232.37514,239.28696,198.96129,212.53076,201.22215,199.53662,199.36302
9,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,181.41109,215.17102,204.27312,189.55054,213.43657,158.43182,176.81305,200.39339,168.50232,166.48529,157.23378,150.47227,173.88678,164.61926,158.75627,184.0174,191.67094,210.67471,216.90259,205.79016,173.18576,169.4619,189.85863,202.15749
10,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,175.54529,197.40352,187.22478,170.26672,198.25906,121.531136,172.67369,179.78284,165.27525,161.5133,123.11766,156.63881,166.08414,154.08717,169.23708,192.13432,174.07877,193.56992,229.24731,176.30026,152.21367,164.06686,197.33644,232.1589
