all_samples_flattening_rmse,M_step_rmse
267.05954,
,143.34808
,153.91476
,168.19226
,179.95523
,182.52888
,193.9207
,198.32611
,209.22292
,209.05832
,222.44716
,216.2525
,215.85715
,219.25526
,221.25789
,223.88441
,239.31613
,237.1479
,240.5509
,247.73613
,244.25014
,251.23445
,254.34639
,258.2819
,270.27954
,267.77136
,273.21942
,274.25992
,279.59952
,281.7822
,280.94345
,286.38788
,292.2432
,290.30923
,296.0412
,294.14233
,301.32693
,300.6154
,313.29184
,313.6695
,317.8397
,324.80106
,334.05695
,337.61563
,340.6444
,336.10223
,337.23544
,342.27615
,342.27527
