,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,true_step11,true_step12,true_step13,true_step14,true_step15,true_step16,true_step17,true_step18,true_step19,true_step20,true_step21,true_step22,true_step23,true_step24,true_step25,true_step26,true_step27,true_step28,true_step29,true_step30,true_step31,true_step32,true_step33,true_step34,true_step35,true_step36,true_step37,true_step38,true_step39,true_step40,true_step41,true_step42,true_step43,true_step44,true_step45,true_step46,true_step47,true_step48,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10,pred_step11,pred_step12,pred_step13,pred_step14,pred_step15,pred_step16,pred_step17,pred_step18,pred_step19,pred_step20,pred_step21,pred_step22,pred_step23,pred_step24,pred_step25,pred_step26,pred_step27,pred_step28,pred_step29,pred_step30,pred_step31,pred_step32,pred_step33,pred_step34,pred_step35,pred_step36,pred_step37,pred_step38,pred_step39,pred_step40,pred_step41,pred_step42,pred_step43,pred_step44,pred_step45,pred_step46,pred_step47,pred_step48
0,228.0,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,413.44092,370.59787,347.03888,357.81082,357.717,321.33646,299.3932,313.55615,305.15332,298.04907,286.1817,265.65686,232.66946,207.80757,283.5153,198.36589,196.02728,179.75696,178.82237,156.0267,139.04967,132.04906,142.3831,166.90895,162.42525,185.18251,169.00781,201.2628,196.54726,194.0662,203.3899,227.10797,237.67992,259.54666,246.59184,270.4346,264.62756,298.39908,317.3163,314.37817,374.0248,403.91754,412.9333,418.46454,413.82147,436.73364,469.7684,462.7219
1,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,343.36267,313.25128,329.5449,341.6745,324.97577,289.7461,290.05264,288.51956,280.19833,279.99258,271.1706,237.2266,213.51607,194.43011,257.54013,178.0674,172.81146,166.99768,158.17883,123.37511,132.11057,132.52483,132.67307,165.94304,168.8512,173.76093,166.93784,216.4495,192.26025,191.71942,212.20853,244.48802,257.9151,273.08124,248.53682,285.79376,289.71136,307.37683,335.52106,354.27255,395.0193,426.82477,426.66907,441.88907,455.49573,452.99673,484.03433,468.53323
2,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,314.7502,314.5796,326.90793,315.2951,299.2483,279.9215,276.679,262.16946,266.64008,266.04782,241.68204,222.152,198.15904,157.55882,238.56963,155.89409,160.65166,147.93527,121.1583,123.0836,126.992676,123.33806,135.02971,167.61224,160.21634,173.25945,187.3365,208.87108,184.69867,204.04077,235.91295,273.73114,270.92148,276.66144,261.38632,315.57877,297.80862,322.88214,371.717,376.9102,415.89093,436.8707,441.97025,472.34518,468.66577,468.15186,486.53723,494.10733
3,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,347.91415,340.0191,324.9123,309.62207,308.62308,289.599,272.26675,278.65253,270.0367,259.11633,241.73341,221.71205,193.48763,164.28702,263.03485,156.10396,155.81117,125.09312,131.53293,130.42926,124.22704,141.35806,146.15172,169.94104,170.71452,198.32024,186.16121,210.62051,206.62344,230.67348,261.90503,281.35272,263.84085,282.23007,283.96204,321.43198,308.6988,353.88553,387.93808,387.39334,423.6354,446.46924,467.0504,476.49112,474.95123,468.12616,505.16623,510.2427
4,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,338.86826,309.9739,290.85037,296.47943,295.75568,266.10797,266.203,267.2635,256.0594,244.39862,236.61613,204.44882,196.88577,167.64574,259.35718,165.87468,145.80827,148.12631,152.7856,141.09245,154.29712,171.20175,173.07054,198.61905,219.86826,223.61955,210.69295,250.37286,255.58792,275.5579,287.22845,303.41403,291.5567,328.74142,318.00192,357.54416,363.52094,397.02386,427.6236,424.03827,454.2204,503.8141,504.46936,520.4785,508.87543,513.17865,553.1899,543.3874
5,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,281.8142,265.9021,251.73566,258.75125,252.64384,236.76633,233.74814,226.75891,230.79941,217.99323,194.71992,181.1472,175.11647,150.82335,212.57521,156.84378,165.75714,167.30757,167.05533,164.21877,183.11746,195.15184,216.59827,248.85196,244.16452,260.13684,263.27698,294.30637,296.05576,303.71927,326.50253,361.49957,360.20535,384.25632,380.658,429.6276,418.95016,448.7929,481.64893,481.46777,513.32874,551.8858,556.8874,577.52905,571.2115,576.17474,600.93884,603.11725
6,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,302.72354,281.95255,262.27417,265.20172,254.15907,235.73341,228.82033,221.83755,223.98694,211.32033,194.11142,180.19649,174.23192,148.63095,221.0352,156.33006,163.09448,161.64015,161.38951,161.69002,175.71365,184.78273,210.69366,239.67833,231.13016,253.4686,254.73395,282.67157,287.52835,296.3106,321.29205,349.96396,351.49762,374.19827,370.63953,416.153,403.22595,432.4946,461.7107,459.62323,492.56943,527.62616,532.4203,551.6889,544.6524,550.6992,573.51056,580.1729
7,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,289.98035,269.44678,253.65788,262.07886,249.72536,227.53627,220.35806,213.60378,214.35327,202.74998,192.87395,178.36101,172.35333,150.29185,228.3101,156.0578,161.83466,159.48575,161.56017,160.61874,172.83011,186.37097,213.40688,241.7273,229.55199,254.9794,253.88525,282.47025,288.8467,295.38217,322.97226,346.31873,350.889,372.2903,367.3953,410.0702,397.43918,424.72928,450.1342,451.6684,485.15927,516.028,520.94684,537.60486,532.4722,535.1564,555.7864,561.663
8,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,252.33922,239.59529,235.3447,248.59492,233.66971,212.05952,208.56798,199.07408,201.47476,193.17857,188.96164,173.962,170.62938,149.4831,231.86272,154.31378,159.9939,160.78035,160.69164,163.43512,176.97836,192.81163,221.59518,248.82365,235.29712,261.26138,261.42358,288.32968,290.163,296.91147,326.15356,348.07538,352.94086,370.4671,364.3322,409.41483,395.75705,420.09973,445.23074,449.8097,483.17538,508.94205,512.2284,532.1457,524.57983,522.9421,539.62286,548.9708
9,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,224.65453,220.14299,219.4209,228.87105,211.16031,194.6449,192.04614,184.01682,186.69489,180.88191,177.87851,165.32843,164.45465,144.27837,233.6137,148.63347,154.3217,153.95778,154.50276,162.69554,173.72711,192.47807,222.53674,246.1295,231.42162,262.73404,264.02463,283.30576,284.09244,293.2153,327.30594,342.88467,343.07016,357.7266,353.624,397.37527,378.70102,405.05273,430.24408,437.5126,467.35422,484.2935,490.54138,509.49463,501.37744,494.9401,512.8685,528.07056
