,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10
0,228.0,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,508.78442,502.19397,488.24622,471.5617,453.6304,433.07693,2.0,451.24805,2.0,422.79565
1,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,501.68655,496.2835,480.1509,467.15796,449.09738,430.385,2.0,445.82,2.0,415.20178
2,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,490.31448,491.5282,475.81442,458.56525,443.53668,423.57434,2.0,439.57248,2.0,411.99603
3,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,481.13586,484.37613,467.36188,452.80646,437.73444,418.14908,2.0,434.9545,2.0,405.9026
4,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,482.5149,478.1724,461.79147,446.96585,432.4086,414.00647,2.0,431.0081,2.0,401.1341
5,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,474.9748,473.39157,457.087,438.68576,426.92822,404.66684,2.0,423.56284,2.0,394.49527
6,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,466.339,462.53052,448.87927,434.55783,420.74078,400.87936,2.0,417.53293,2.0,390.77002
7,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,461.30374,456.85986,443.36304,424.8511,415.8652,396.754,2.0,413.71243,2.0,387.67398
8,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,449.93234,451.67743,438.2663,416.6816,412.00677,391.05557,2.0,407.95117,2.0,380.4546
9,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,437.7701,443.9482,428.04736,411.79285,404.53064,384.63452,2.0,397.59686,2.0,379.83533
10,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,426.6835,433.6352,416.85995,400.00598,398.3861,378.77124,2.0,387.04782,2.0,372.82812
11,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,419.14502,428.20795,407.6287,390.1208,391.13065,369.4155,2.0,385.34305,2.0,366.14658
12,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,412.082,421.0129,402.6215,382.79285,383.70654,358.09616,2.0,385.8252,2.0,360.74948
13,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,402.7042,409.26117,392.6707,376.2907,373.69412,350.571,2.0,377.10068,2.0,354.33658
14,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,389.54773,396.6075,384.16925,368.4798,364.14142,343.3919,2.0,367.02856,2.0,349.18375
15,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,373.1438,391.15674,376.1063,360.9336,356.8105,338.93533,2.0,357.94754,2.0,340.5842
16,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,366.33365,383.31268,367.1975,351.61377,349.9999,328.59354,2.0,354.71988,2.0,337.1416
17,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,361.02094,376.34546,363.28012,345.57724,347.25647,321.15396,2.0,349.9319,2.0,333.5759
18,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,353.48462,371.48566,352.94775,340.79315,340.22598,314.48404,2.0,346.88428,2.0,328.4247
19,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,346.81537,363.59045,347.34552,329.66907,334.23715,309.9928,2.0,346.28784,2.0,325.5402
20,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,340.364,359.53915,342.2363,326.3049,332.65402,304.64642,2.0,343.03256,2.0,321.76315
21,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,332.75403,350.41406,337.45892,327.38382,325.2651,299.07214,2.0,338.79227,2.0,317.79562
22,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,319.04395,341.22748,329.32846,319.00644,316.79324,293.3902,2.0,329.24515,2.0,312.34296
23,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,308.60052,332.67477,318.51373,310.42883,309.81015,284.9752,2.0,321.4809,2.0,306.9429
24,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,303.50027,329.64642,312.93307,305.30362,307.62036,279.75754,2.0,319.7378,2.0,306.13013
25,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,296.0171,323.33865,306.68906,300.5026,303.568,274.7207,2.0,317.75073,2.0,304.53525
26,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,288.11557,317.02783,299.826,293.83188,298.2249,270.20828,2.0,314.0323,2.0,302.18744
27,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,277.811,310.864,293.54587,287.34482,292.5831,264.73532,2.0,309.7255,2.0,298.83713
28,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,267.50317,303.0778,286.77386,282.23093,286.26715,258.91748,2.0,303.53104,2.0,295.1981
29,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,257.79373,294.3742,278.88754,274.83154,279.48178,250.86497,2.0,297.7902,2.0,290.08517
30,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,247.0453,281.16153,271.66318,261.69897,269.91324,241.0394,2.0,293.86902,2.0,281.9183
31,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,239.80663,271.39835,265.55637,250.98334,260.66263,231.58046,2.0,289.13226,2.0,279.09747
32,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,233.5048,261.62332,260.59375,245.39015,253.90178,231.04962,2.0,285.9097,2.0,279.99704
33,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,228.0759,254.30276,258.07,243.39491,249.48453,232.81248,2.0,282.0059,2.0,282.46515
34,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,220.13623,246.7502,256.73245,241.33937,250.7543,232.87721,2.0,280.1216,2.0,287.43555
35,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,219.00078,242.73259,255.38037,242.804,252.58194,233.38565,2.0,282.2776,2.0,293.33292
36,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,220.35316,243.39395,256.05472,243.2748,252.6295,232.90666,2.0,284.139,2.0,299.99084
37,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,221.43791,247.62704,255.87038,251.88097,257.072,239.94122,2.0,291.63934,2.0,302.7187
38,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,228.76532,251.96906,259.93164,258.3084,261.57303,246.66118,2.0,299.11456,2.0,308.12564
39,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,238.01306,262.7686,265.55762,266.96313,268.15097,256.85333,2.0,310.42105,2.0,313.005
40,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,246.4699,269.4162,273.19296,275.5238,272.05624,263.2078,2.0,320.49255,2.0,322.1098
41,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,253.31448,275.60742,280.03525,282.77893,276.96356,271.16498,2.0,327.50778,2.0,329.99783
42,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,258.68484,279.35464,284.98718,289.9753,283.29636,279.8838,2.0,335.84625,2.0,337.1305
43,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,266.0381,286.4873,295.25803,299.3243,294.20248,288.602,2.0,345.48376,2.0,345.51926
44,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,275.47998,293.77063,304.90994,311.08353,305.52924,299.8937,2.0,357.53595,2.0,355.52957
45,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,286.8928,299.84344,315.63406,324.63272,316.3446,312.32462,2.0,364.771,2.0,367.24655
46,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,301.2801,309.63474,324.57535,338.47986,327.42578,328.16574,2.0,370.74533,2.0,378.18555
47,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,313.3766,321.1805,334.11038,352.92786,336.21295,341.9105,2.0,382.61642,2.0,389.54355
48,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,326.2096,333.80273,348.24698,365.94693,351.21915,353.7415,2.0,396.22586,2.0,402.20947
49,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,339.32175,349.94763,361.76138,378.62613,360.50345,364.65836,2.0,407.2195,2.0,416.9426
50,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,355.044,366.14267,378.8905,391.62936,371.00095,375.00348,2.0,421.07446,2.0,430.4117
51,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,370.98526,385.63312,394.55518,402.80618,385.93384,385.94714,2.0,435.36105,2.0,442.60443
52,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,390.58566,400.82812,408.83704,415.9965,400.10965,399.14114,2.0,451.30728,2.0,455.4273
53,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,408.56134,414.823,420.9855,429.4626,412.18353,411.14142,2.0,463.11984,2.0,464.60052
54,636.0,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,418.01678,422.1755,428.1777,435.11963,417.36588,417.18115,2.0,466.61847,2.0,466.3385
55,614.0,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,427.24634,429.74588,435.57196,440.9537,422.40323,423.6573,2.0,470.4138,2.0,468.23154
56,629.0,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,436.73062,437.7996,443.0026,447.4451,427.79788,430.398,2.0,473.61963,2.0,470.4901
57,647.0,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,446.61542,445.6287,449.80038,454.58847,434.39706,437.10312,2.0,477.68094,2.0,471.9889
58,664.0,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,789.0,456.47595,453.05225,456.94757,460.61426,440.74295,443.2692,2.0,481.0728,2.0,474.45895
59,674.0,677.0,705.0,723.0,736.0,758.0,761.0,784.0,789.0,199.0,466.1433,459.97018,463.32434,466.0257,445.69196,448.7484,2.0,484.33066,2.0,477.05832
