date,air_temp,relhum,hour,ghi
2014/1/2 8:00,6.536,59.44933333,8,0
2014/1/2 9:00,6.572666667,59.89566667,9,0
2014/1/2 10:00,6.322,61.49233333,10,0
2014/1/2 11:00,5.865333333,63.58333333,11,0
2014/1/2 12:00,5.228333333,65.719,12,0
2014/1/2 13:00,3.273666667,72.27833333,13,0
2014/1/2 14:00,2.779666667,75.11233333,14,0
2014/1/2 15:00,2.931,74.97066667,15,12.93583333
2014/1/2 16:00,6.329666667,63.109,16,146.6463333
2014/1/2 17:00,11.16733333,47.73866667,17,287.115
2014/1/2 18:00,13.437,41.76633333,18,390.23
2014/1/2 19:00,16.30666667,34.28066667,19,469.495
2014/1/2 20:00,17.27833333,32.905,20,481.0066667
2014/1/2 21:00,17.989,32.599,21,426.925
2014/1/2 22:00,18.074,32.86233333,22,316.2766667
2014/1/2 23:00,18.106,32.56066667,23,219.7633333
2014/1/3 0:00,16.94,35.316,0,24.68083333
2014/1/3 1:00,13.61066667,43.006,1,0
2014/1/3 2:00,10.90466667,50.73466667,2,0
2014/1/3 3:00,9.664333333,56.958,3,0
2014/1/3 4:00,8.964666667,60.49766667,4,0
2014/1/3 5:00,7.903666667,63.7,5,0
2014/1/3 6:00,7.259666667,65.51766667,6,0
2014/1/3 7:00,7.128,64.971,7,0
2014/1/3 8:00,7.025666667,66.49266667,8,0
2014/1/3 9:00,6.802,66.59366667,9,0
2014/1/3 10:00,7.422,63.76133333,10,0
2014/1/3 11:00,6.029,68.384,11,0
2014/1/3 12:00,6.555333333,66.405,12,0
2014/1/3 13:00,6.791333333,63.60366667,13,0
2014/1/3 14:00,5.461333333,68.44133333,14,0
2014/1/3 15:00,5.724,68.564,15,12.9145
2014/1/3 16:00,8.187,56.56166667,16,143.7755
2014/1/3 17:00,12.695,44.765,17,289.955
2014/1/3 18:00,14.413,40.51866667,18,402.6433333
2014/1/3 19:00,15.85633333,36.96433333,19,467.72
2014/1/3 20:00,17.40766667,33.914,20,477.1433333
2014/1/3 21:00,18.31733333,32.52033333,21,431.9933333
2014/1/3 22:00,18.96533333,31.07366667,22,334.925
2014/1/3 23:00,18.586,32.18666667,23,202.0083333
2014/1/4 0:00,17.45466667,35.94966667,0,43.82716667
2014/1/4 1:00,14.857,42.59733333,1,0
2014/1/4 2:00,11.918,50.48533333,2,0
2014/1/4 3:00,9.432666667,57.37666667,3,0
2014/1/4 4:00,8.337,62.6,4,0
2014/1/4 5:00,8.487666667,63.37066667,5,0
2014/1/4 6:00,7.968666667,65.516,6,0
2014/1/4 7:00,8.177666667,64.186,7,0
2014/1/4 8:00,7.398333333,66.14333333,8,0
2014/1/4 9:00,6.350333333,69.03533333,9,0
2014/1/4 10:00,6.236333333,70.267,10,0
2014/1/4 11:00,6.792666667,67.93133333,11,0
2014/1/4 12:00,6.382666667,67.69433333,12,0
2014/1/4 13:00,5.571666667,69.43466667,13,0
2014/1/4 14:00,4.025333333,75.09766667,14,0
2014/1/4 15:00,4.737,71.95266667,15,13.812
2014/1/4 16:00,7.370666667,62.70733333,16,149.3291667
2014/1/4 17:00,9.879,56.43466667,17,295.9383333
2014/1/4 18:00,12.39733333,49.61466667,18,412.915
2014/1/4 19:00,13.53,47.14833333,19,481.8716667
2014/1/4 20:00,14.89033333,42.95133333,20,494.7616667
2014/1/4 21:00,15.817,35.82933333,21,451.2533333
2014/1/4 22:00,16.357,32.50333333,22,351.2366667
2014/1/4 23:00,17.687,27.672,23,215.715
2014/1/5 0:00,16.73933333,31.15933333,0,50.8705
2014/1/5 1:00,13.451,37.51333333,1,0
2014/1/5 2:00,9.615,47.067,2,0
2014/1/5 3:00,8.323333333,54.42166667,3,0
2014/1/5 4:00,8.621,56.031,4,0
2014/1/5 5:00,8.291333333,56.59733333,5,0
2014/1/5 6:00,7.833,58.427,6,0
2014/1/5 7:00,8.371,58.827,7,0
2014/1/5 8:00,8.354333333,59.958,8,0
2014/1/5 9:00,6.580666667,66.79166667,9,0
2014/1/5 10:00,6.485,65.134,10,0
2014/1/5 11:00,5.694666667,66.09433333,11,0
2014/1/5 12:00,5.243666667,64.938,12,0
2014/1/5 13:00,4.819,63.714,13,0
2014/1/5 14:00,4.832,58.65633333,14,0
2014/1/5 15:00,4.078333333,58.46733333,15,12.2585
2014/1/5 16:00,5.948,54.32066667,16,140.7753333
2014/1/5 17:00,10.70533333,42.248,17,291.1866667
2014/1/5 18:00,13.252,35.592,18,406.5733333
2014/1/5 19:00,15.097,34.56366667,19,472.3133333
2014/1/5 20:00,16.85166667,33.25466667,20,484.0116667
2014/1/5 21:00,17.90533333,31.895,21,436.3866667
2014/1/5 22:00,18.359,31.15766667,22,339.0833333
2014/1/5 23:00,18.38066667,31.80266667,23,207.185
2014/1/6 0:00,17.13233333,34.395,0,51.777
2014/1/6 1:00,13.85166667,41.88766667,1,0
2014/1/6 2:00,10.566,50.917,2,0
2014/1/6 3:00,8.545666667,57.95666667,3,0
2014/1/6 4:00,8.464,59.928,4,0
2014/1/6 5:00,8.246,60.29666667,5,0
2014/1/6 6:00,7.406,61.56033333,6,0
2014/1/6 7:00,7.482333333,58.58233333,7,0
2014/1/6 8:00,7.185,59.28866667,8,0
2014/1/6 9:00,7.044,56.886,9,0
2014/1/6 10:00,6.612666667,59.53666667,10,0
2014/1/6 11:00,6.605333333,59.69766667,11,0
2014/1/6 12:00,5.758,59.94433333,12,0
2014/1/6 13:00,5.827666667,58.54066667,13,0
2014/1/6 14:00,6.390333333,54.60766667,14,0
2014/1/6 15:00,5.619333333,57.12166667,15,9.7935
2014/1/6 16:00,6.108666667,58.14066667,16,88.01066667
2014/1/6 17:00,8.384,52.67033333,17,192.4716667
2014/1/6 18:00,11.76266667,45.71633333,18,274.46
2014/1/6 19:00,13.72333333,39.411,19,313.3683333
2014/1/6 20:00,14.40966667,36.90266667,20,216.8033333
2014/1/6 21:00,15.31233333,34.106,21,260.6183333
2014/1/6 22:00,16.20333333,32.05833333,22,293.3883333
2014/1/6 23:00,16.32666667,32.41133333,23,136.455
2014/1/7 0:00,14.92466667,34.526,0,23.56816667
2014/1/7 1:00,13.54233333,38.65833333,1,0
2014/1/7 2:00,12.745,41.13533333,2,0
2014/1/7 3:00,12.18833333,42.30066667,3,0
2014/1/7 4:00,11.58533333,46.89166667,4,0
2014/1/7 5:00,11.34066667,46.964,5,0
2014/1/7 6:00,10.952,48.23966667,6,0
2014/1/7 7:00,10.23866667,51.21966667,7,0
2014/1/7 8:00,9.110666667,56.909,8,0
2014/1/7 9:00,7.404333333,63.188,9,0
2014/1/7 10:00,6.563,66.75266667,10,0
2014/1/7 11:00,4.944666667,70.545,11,0
2014/1/7 12:00,5.313666667,69.51333333,12,0
2014/1/7 13:00,5.637333333,66.68733333,13,0
2014/1/7 14:00,5.143333333,67.45,14,0
2014/1/7 15:00,5.156,68.52433333,15,7.949333333
2014/1/7 16:00,5.479333333,67.38633333,16,85.8515
2014/1/7 17:00,7.673333333,59.995,17,76.19266667
2014/1/7 18:00,10.36733333,52.84733333,18,354.6333333
2014/1/7 19:00,14.33766667,38.437,19,471.1733333
2014/1/7 20:00,16.309,33.415,20,493.3316667
2014/1/7 21:00,17.37033333,30.66166667,21,439.745
2014/1/7 22:00,17.844,28.58866667,22,345.7583333
2014/1/7 23:00,17.68933333,28.38866667,23,193.0616667
2014/1/8 0:00,16.182,30.73766667,0,56.09716667
2014/1/8 1:00,13.10533333,36.77166667,1,0.0475
2014/1/8 2:00,11.05233333,41.99033333,2,0
2014/1/8 3:00,10.05333333,45.23133333,3,0
2014/1/8 4:00,9.318333333,47.42433333,4,0
2014/1/8 5:00,8.322666667,50.88933333,5,0
2014/1/8 6:00,8.500666667,50.826,6,0
2014/1/8 7:00,8.438666667,51.39066667,7,0
2014/1/8 8:00,9.399,49.48366667,8,0
2014/1/8 9:00,8.057666667,54.55033333,9,0
2014/1/8 10:00,8.380666667,63.26166667,10,0
2014/1/8 11:00,9.422666667,70.34466667,11,0
2014/1/8 12:00,9.790666667,76.383,12,0
2014/1/8 13:00,10.05766667,79.537,13,0
2014/1/8 14:00,9.871333333,78.85533333,14,0
2014/1/8 15:00,8.913666667,80.196,15,8.9855
2014/1/8 16:00,9.224,82.21566667,16,117.3405
2014/1/8 17:00,10.79733333,79.63,17,280.57
2014/1/8 18:00,11.38366667,75.48133333,18,279.4483333
2014/1/8 19:00,11.03266667,74.84233333,19,306.635
