RMSE,nRMSE,MAPE,sMAPE,R2
154.81566,0.41434628,0.29760355,0.3260379135608673,0.7056452203835042
172.86465,0.46278653,0.34566057,0.3934573233127594,0.6331841794814126
191.0028,0.5115324,0.38840723,0.4616289734840393,0.5523984613624391
201.23941,0.53930134,0.42738372,0.4935232400894165,0.5036240504264049
204.74466,0.54914397,0.4117841,0.5055311322212219,0.4868432165355171
213.62341,0.573691,0.44554412,0.5301980972290039,0.44227414122128406
,,,,,Multi-step prediction of the mean value of each indicator
,,,,,
,,,,,
all_samples_rmse,nrmse_mean,mape_mean,sampe_mean,R2_mean
190.78119,0.50846696,0.3860639,0.4517294466495514,0.5539948782350935
