,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,true_step11,true_step12,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10,pred_step11,pred_step12
0,228.0,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,341.49646,313.90518,314.42902,312.67322,338.01157,305.31848,289.29327,278.64368,276.38055,281.74158,250.94658,274.16846
1,261.0,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,238.68,231.26031,250.72148,259.95215,272.47174,256.2893,247.73688,221.92984,235.52396,235.76605,222.79613,232.68771
2,283.0,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,226.39044,228.49521,256.2364,238.50504,254.7385,246.42091,229.97563,225.79263,236.9803,235.0696,224.18477,226.11792
3,292.0,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,235.60411,237.08626,239.5738,223.22023,241.13576,219.51233,219.71185,218.87451,228.36157,229.1393,218.8044,221.65808
4,377.0,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,242.30975,227.0803,235.36842,224.70714,241.63644,222.48196,225.84505,221.4049,221.73505,221.34657,224.56042,219.951
5,379.0,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,277.41132,259.8765,266.29413,237.35683,263.08624,233.63977,246.8476,224.03574,229.22375,236.06528,225.44331,233.2587
6,315.0,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,301.58304,278.32593,270.5623,243.9213,254.3654,239.11516,243.7491,223.6609,230.10136,229.64001,227.91559,235.85214
7,233.0,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,287.63773,244.6261,260.73682,234.02484,248.30128,237.49113,234.78004,216.24597,221.36913,229.64207,222.14162,230.62329
8,198.0,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,224.74294,222.99043,221.7531,211.30336,226.72356,225.33388,224.88675,193.71222,206.07675,217.3779,212.16734,219.65184
9,197.0,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,204.37909,200.0859,203.56232,197.9674,216.90134,220.50873,211.63872,188.8815,198.82675,210.58223,222.49585,213.04764
10,226.0,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,196.52972,192.79068,197.42511,197.79266,220.03038,203.98215,208.58138,191.12762,206.67401,219.28165,224.20145,230.56987
11,237.0,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,196.08951,202.54276,200.87521,206.10791,214.5082,194.41354,209.28828,195.12274,205.01593,206.19437,219.24773,224.7037
12,200.0,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,203.98083,205.51527,217.44437,210.39464,220.35674,207.92708,228.33752,201.91315,208.86383,220.79173,224.32683,235.40501
13,201.0,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,177.52222,184.81122,192.61847,204.36853,215.93413,211.34746,240.62079,202.79782,218.18127,223.3421,239.53897,260.664
14,193.0,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,170.8544,186.2167,187.09714,203.57224,228.39781,214.6136,241.39989,192.93146,220.78839,226.59544,252.23444,247.72446
15,217.0,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,157.38062,182.3176,182.21219,201.13574,223.03255,218.78804,250.54892,193.53824,224.32903,244.78316,255.44077,257.0207
16,203.0,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,163.82877,174.98471,178.26782,194.37753,203.36322,218.9708,240.84764,195.91086,226.39424,230.37035,237.45729,245.82779
17,287.0,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,166.72433,174.89386,182.99188,203.2583,212.14241,218.01517,253.18648,209.35803,229.71503,238.61826,259.85114,271.60855
18,155.0,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,210.62988,205.03714,211.89766,233.25505,228.53503,230.5599,272.69916,223.81699,237.72325,254.03398,278.6345,263.20605
19,164.0,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,167.50717,169.268,195.81302,208.39915,227.09816,220.36333,246.03061,201.34494,225.78123,244.26123,242.98663,232.88995
20,149.0,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,145.53415,158.84204,177.58008,196.72931,217.75415,207.62337,241.15599,192.00351,226.65182,220.29303,228.20122,226.575
21,136.0,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,145.58188,158.69373,173.94818,208.30528,220.43498,223.16006,269.54993,210.83894,229.31393,229.40459,253.6573,249.53755
22,138.0,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,128.33871,141.88159,175.23312,201.0604,222.49118,219.73528,268.66577,204.84235,216.81143,233.33313,263.3215,254.44884
23,123.0,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,119.83594,152.0339,158.5964,181.32773,202.876,200.07208,234.3128,173.84903,206.5668,215.93767,220.8471,218.1727
24,103.0,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,114.78012,146.59647,155.6005,177.79184,195.2558,195.43234,231.23132,185.25052,204.43698,207.71729,222.0847,226.55089
25,80.0,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,102.25833,134.85892,149.09808,170.17056,176.53882,190.94012,218.96043,180.38333,202.25662,207.61133,231.31653,224.6107
26,72.0,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,86.21173,99.67038,140.14542,161.92801,174.0679,187.18875,219.04417,178.29037,200.08374,208.88434,225.70729,221.70584
27,65.0,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,71.04422,89.168976,127.8118,154.9169,184.4013,183.57816,219.78593,174.95682,198.3331,207.12924,222.75824,216.67902
28,71.0,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,61.86783,80.23416,121.49606,152.6135,181.31522,183.80328,220.71912,166.89026,196.06943,214.61171,233.2962,220.95605
29,137.0,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,65.10837,98.06137,121.35812,151.67978,168.65573,179.88574,221.02309,166.95029,194.39691,203.30801,230.472,218.382
30,154.0,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,117.77545,123.85651,154.89032,171.98053,183.03754,194.8772,242.32268,191.12323,206.06435,215.12845,234.95755,228.59462
31,168.0,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,148.53406,143.65149,168.31226,178.92816,194.375,203.63599,247.8753,194.19968,207.6942,217.84912,237.53937,225.48924
32,187.0,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,155.71915,148.55774,182.9076,184.93027,205.69633,210.48154,255.46338,183.83002,208.40277,219.28426,237.69849,231.45975
33,206.0,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,170.46451,160.45905,193.20358,198.27603,226.08902,226.2346,273.4294,204.42896,217.51335,229.85863,249.81541,238.75038
34,231.0,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,186.80716,176.67188,197.43411,212.1166,240.55948,241.95717,286.64777,205.32549,226.83037,245.13106,253.1864,249.3108
35,255.0,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,207.18979,195.18488,213.51068,226.4035,257.47546,257.09247,300.54755,219.25943,236.42215,251.20085,260.47617,259.2702
36,275.0,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,237.87259,224.95708,236.7182,244.89703,274.5769,271.86478,314.75122,236.31435,241.92696,257.3695,264.48117,264.75418
37,300.0,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,264.70312,243.52461,256.11688,263.1297,290.78088,288.5827,333.34753,244.00232,249.91698,267.74707,273.29672,277.19104
38,332.0,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,298.89795,264.75314,280.61774,284.66516,317.0468,311.07022,344.97116,254.31349,263.35876,274.69672,282.94476,286.6254
39,353.0,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,334.1789,297.0193,304.70462,310.52563,344.62903,333.16467,372.08658,272.62677,280.7168,293.8059,294.792,305.81213
40,379.0,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,363.02026,320.68243,318.82095,333.8566,354.84607,356.87503,390.53644,291.99106,286.40256,299.28955,310.71875,315.2624
41,394.0,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,388.6088,344.01636,350.409,353.78256,381.59225,382.0102,414.62634,311.1571,302.84894,326.16687,324.3113,341.1797
42,428.0,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,405.69424,358.52975,344.89767,357.2868,370.88168,373.19928,407.04547,303.34277,301.70782,316.2904,322.319,333.27576
43,443.0,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,438.3119,384.9491,372.2005,377.83875,385.8546,390.46286,424.47064,324.9179,317.87775,334.83844,336.7836,346.59656
44,469.0,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,459.06378,404.6979,390.11957,390.97623,398.92407,403.32794,438.18802,341.26855,331.48593,355.50577,348.3888,364.0417
45,493.0,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,476.78693,423.35092,400.19504,405.6327,416.57538,414.5121,454.16745,358.6643,344.91315,369.5334,367.41168,380.2929
46,502.0,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,487.3418,437.8119,407.31677,419.83945,436.5305,429.13864,472.19324,376.2661,358.75586,386.56863,381.4267,396.00186
47,522.0,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,490.73047,445.39606,410.9549,425.53745,444.30783,439.5622,482.95453,390.2566,372.84607,404.20242,392.54156,410.8722
48,541.0,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,503.36386,463.02252,426.0089,436.2763,451.29114,451.52823,497.51984,411.5908,389.84714,414.5818,409.10797,431.2326
49,555.0,580.0,625.0,614.0,600.0,636.0,614.0,629.0,647.0,664.0,674.0,677.0,516.81744,482.3458,435.53333,451.29526,465.936,463.63086,514.0781,431.67017,403.519,437.2839,440.0331,460.12692
