RMSE,nRMSE,MAPE,sMAPE,R2
135.1159,0.43720907,0.29927364,0.31604573130607605,0.7472488056746736
159.28108,0.5156765,0.3877567,0.3968197703361511,0.6489974992836718
176.734,0.5725299,0.4123548,0.4348698854446411,0.568152344580076
192.31682,0.6234779,0.50663924,0.4992864429950714,0.48905112402614526
203.30055,0.65957123,0.5684063,0.5540885329246521,0.4294280648810884
208.75055,0.67768735,0.59065425,0.5698210000991821,0.3984796998112974
,,,,,Multi-step prediction of the mean value of each indicator
,,,,,
,,,,,
all_samples_rmse,nrmse_mean,mape_mean,sampe_mean,R2_mean
179.24982,0.5810253,0.46084747,0.46182189385096234,0.5468929230428253
