RMSE,nRMSE,MAPE,sMAPE,R2
130.4695,0.4235529,0.24544677,0.3150313198566437,0.7639521482799495
147.99898,0.4804981,0.27981848,0.36861228942871094,0.6962802350838417
160.89586,0.52267593,0.30153948,0.3857554793357849,0.6412649656607285
172.43271,0.560588,0.32549867,0.41663047671318054,0.5883226475691391
179.48663,0.58401287,0.39142537,0.465136855840683,0.5543594288861287
189.2634,0.6165513,0.43207818,0.48701101541519165,0.5049185053766763
,,,,,Multi-step prediction of the mean value of each indicator
,,,,,
,,,,,
all_samples_rmse,nrmse_mean,mape_mean,sampe_mean,R2_mean
164.61197,0.5313132,0.32930115,0.4063629060983658,0.6248496551427439
