RMSE,nRMSE,MAPE,sMAPE,R2,
145.83005,0.473419,0.099104956,0.18466050922870636,0.705099036,
162.23988,0.5267331,0.15222517,0.25149098,0.635018497,
179.66089,0.5836348,0.19024941,0.3056202530860901,0.552707908,
197.32417,0.64151144,0.23167838,0.3542692959308624,0.460888896,
197.366,0.64218867,0.2569897,0.3750200569629669,0.461153405,
207.39523,0.6756182,0.2872399,0.40513527393341064,0.405514813,
,,,,,Multi-step prediction of the mean value of each indicator
,,,,,
,,,,,
all_samples_rmse,nrmse_mean,mape_mean,sampe_mean,R2_mean,
182.92493,0.5905175,0.2029146,0.31269939492146176,0.5367304257776899,
