RMSE,nRMSE,MAPE,sMAPE,R2
163.43509,0.4374152,0.34573263,0.38791391253471375,0.6719561012275319
184.8174,0.49478596,0.4098779,0.45102545619010925,0.5807033815112337
204.02368,0.5464042,0.45304754,0.5016888380050659,0.48929133999387775
212.20715,0.5686938,0.45072967,0.5171785354614258,0.44804368927355254
224.14091,0.6011665,0.48966962,0.548940122127533,0.38501120947909206
228.49908,0.61364,0.4500939,0.5536542534828186,0.3618952640046065
,,,,,Multi-step prediction of the mean value of each indicator
,,,,,
,,,,,
all_samples_rmse,nrmse_mean,mape_mean,sampe_mean,R2_mean
204.11476,0.5436843,0.4331919,0.4934001863002777,0.4894834975816491
